x,y
0,0
0.000104167,9.04225e-08
0.000208333,2.71267e-07
0.000312499,5.42534e-07
0.000520831,1.44676e-06
0.00072916,2.71266e-06
0.00104165,5.4253e-06
0.00145828,1.04888e-05
0.0018749,1.6999e-05
0.00229149,2.49557e-05
0.00281218,3.71616e-05
0.00333281,5.16273e-05
0.00395747,7.22399e-05
0.00458202,9.61056e-05
0.00531047,0.000128376
0.00603871,0.000165072
0.00687068,0.000212789
0.00780619,0.000273781
0.0087412,0.00034208
0.0097794,0.000426983
0.0108168,0.000520894
0.0118534,0.000623808
0.0129925,0.000747895
0.0142337,0.000896199
0.0154732,0.00105742
0.016814,0.00124723
0.0181526,0.00145215
0.0195913,0.00169033
0.0210271,0.00194599
0.0225617,0.00223991
0.0240923,0.00255378
0.0257202,0.00291123
0.027343,0.00329125
0.029061,0.00372041
0.0307726,0.00417489
0.032577,0.00468435
0.0343733,0.00522195
0.0362598,0.0058206
0.0381361,0.00645029
0.0400994,0.0071473
0.0420502,0.0078783
0.0440843,0.00868305
0.0461034,0.00952475
0.0482014,0.0104468
0.0502814,0.0114087
0.0524355,0.0124575
0.0545682,0.0135491
0.0567694,0.0147344
0.0589454,0.0159652
0.0611837,0.0172961
0.0633927,0.0186754
0.065657,0.0201613
0.0678872,0.0216979
0.0701652,0.0233474
0.0724039,0.0250499
0.0746819,0.0268713
0.076915,0.0287476
0.0791782,0.0307484
0.0813903,0.0328056
0.0836224,0.0349926
0.0857969,0.037237
0.0879807,0.0396158
0.0900996,0.0420525
0.0922162,0.0446276
0.0942605,0.0472605
0.09629,0.0500349
0.0982392,0.0528664
0.100161,0.0558416
0.101993,0.0588722
0.103784,0.0620478
0.105478,0.0652764
0.107115,0.06865
0.108647,0.0720731
0.110107,0.0756401
0.111451,0.0792521
0.112709,0.0830052
0.113843,0.0867978
0.114873,0.0907273
0.11579,0.0947919
0.116565,0.0988858
0.117198,0.103004
0.117696,0.107246
0.118042,0.111503
0.118238,0.115873
0.118274,0.120248
0.118144,0.124725
0.117836,0.129298
0.117354,0.133856
0.116698,0.138392
0.115846,0.143002
0.114816,0.147575
0.113576,0.152203
0.112153,0.156779
0.110509,0.16139
0.108678,0.165931
0.106617,0.170486
0.104368,0.174952
0.101881,0.179409
0.099206,0.183756
0.0962867,0.18807
0.0931829,0.192252
0.0898314,0.196374
0.0863008,0.200344
0.082522,0.204224
0.0784926,0.207998
0.074294,0.211583
0.0699349,0.214971
0.0653367,0.218211
0.0605917,0.221232
0.0556176,0.224075
0.0504183,0.22672
0.0450967,0.229109
0.0396652,0.231236
0.0340364,0.233126
0.0283211,0.234735
0.0224304,0.236077
0.0164797,0.237122
0.0103799,0.237873
0.00414537,0.238312
-0.00210358,0.238427
-0.00838131,0.238216
-0.0146397,0.237681
-0.0208932,0.23682
-0.0270939,0.235637
-0.0332562,0.234131
-0.0393332,0.232311
-0.0453388,0.230172
-0.0512275,0.22773
-0.0570128,0.224979
-0.0626511,0.221937
-0.0681552,0.218599
-0.0734838,0.214987
-0.0786491,0.211092
-0.0836122,0.206944
-0.0883848,0.202531
-0.0929308,0.197885
-0.0972609,0.192996
-0.101343,0.187897
-0.105185,0.182577
-0.10876,0.177074
-0.112076,0.171374
-0.115107,0.165519
-0.117861,0.159493
-0.120317,0.15334
-0.122481,0.147045
-0.124335,0.140653
-0.125885,0.134147
-0.127118,0.127575
-0.128038,0.120919
-0.128636,0.114227
-0.128914,0.107483
-0.128869,0.100733
-0.1285,0.0939616
-0.12781,0.0872156
-0.126796,0.080479
-0.125464,0.073798
-0.123811,0.0671569
-0.121846,0.060601
-0.119567,0.0541149
-0.116986,0.0477428
-0.114098,0.0414694
-0.110921,0.0353374
-0.107447,0.0293322
-0.103699,0.0234944
-0.0996675,0.01781
-0.0953786,0.0123174
-0.0908221,0.00700339
-0.086027,0.00190369
-0.0809821,-0.00299403
-0.0757194,-0.00765684
-0.0702265,-0.0120961
-0.0645382,-0.016282
-0.0586411,-0.0202249
-0.0525725,-0.0238981
-0.046318,-0.0273109
-0.039917,-0.0304402
-0.0333544,-0.033294
-0.0266712,-0.0358527
-0.0198517,-0.0381231
-0.0129384,-0.0400894
-0.00591487,-0.0417569
0.00117522,-0.0431138
0.00834878,-0.0441638
0.0155614,-0.044899
0.0228304,-0.0453218
0.0301108,-0.0454281
0.0374203,-0.0452189
0.044714,-0.0446939
0.0520094,-0.0438526
0.0592619,-0.0426986
0.0664892,-0.0412299
0.0736471,-0.0394539
0.0807533,-0.0373669
0.0877644,-0.0349803
0.0946978,-0.0322888
0.101512,-0.0293072
0.108222,-0.026029
0.11479,-0.0224724
0.12123,-0.0186293
0.127505,-0.0145212
0.13363,-0.0101387
0.139568,-0.0055065
0.145335,-0.000613693
0.150895,0.00451217
0.156263,0.00988313
0.161408,0.015469
0.166341,0.0212831
0.171034,0.0272926
0.175499,0.0335121
0.179709,0.0399067
0.183676,0.0464917
0.187376,0.0532305
0.190818,0.0601392
0.193982,0.0671796
0.196877,0.0743687
0.199485,0.0816667
0.201813,0.0890914
0.203848,0.0966019
0.205595,0.104217
0.207043,0.111894
0.208197,0.119652
0.209049,0.127449
0.209602,0.135305
0.209852,0.143176
0.209801,0.151082
0.209447,0.15898
0.20879,0.166891
0.207833,0.17477
0.206574,0.182639
0.20502,0.190455
0.203171,0.198206
0.201025,0.205913
0.198583,0.213564
0.195859,0.221119
0.192845,0.228597
0.189557,0.235959
0.185987,0.243223
0.182153,0.250351
0.178046,0.257361
0.173686,0.264217
0.169063,0.270937
0.1642,0.277485
0.159085,0.283878
0.153744,0.290083
0.148164,0.296117
0.142372,0.301948
0.136354,0.307592
0.13014,0.313019
0.123715,0.318244
0.117111,0.32324
0.11031,0.32802
0.103347,0.33256
0.0962046,0.336873
0.0889167,0.340935
0.0814657,0.344759
0.0738877,0.348325
0.0661637,0.351643
0.0583311,0.354695
0.0503702,0.35749
0.0423192,0.360015
0.0341579,0.362276
0.0259252,0.364262
0.0176003,0.365978
0.00922288,0.367416
0.000771482,0.368581
-0.0077138,0.369465
-0.0162547,0.370073
-0.0248109,0.3704
-0.0334046,0.370449
-0.0419952,0.370218
-0.0506051,0.369708
-0.0591941,0.36892
-0.0677844,0.367854
-0.0763362,0.366513
-0.0848718,0.364896
-0.0933516,0.363008
-0.101798,0.360846
-0.110172,0.358419
-0.118496,0.355722
-0.126732,0.352766
-0.134901,0.349545
-0.142967,0.346073
-0.15095,0.342341
-0.158815,0.338365
-0.166582,0.334137
-0.174217,0.329674
-0.181741,0.324966
-0.189146,0.320018
-0.196399,0.31485
-0.203495,0.309467
-0.210451,0.303856
-0.217264,0.298023
-0.223902,0.291992
-0.23036,0.285768
-0.236655,0.279336
-0.24276,0.272723
-0.248692,0.265913
-0.254424,0.258934
-0.259973,0.251769
-0.265315,0.244449
-0.270465,0.236954
-0.275419,0.22929
-0.280155,0.221491
-0.284671,0.213561
-0.288978,0.205481
-0.293058,0.197285
-0.296924,0.18895
-0.300558,0.180512
-0.303972,0.171948
-0.30715,0.163295
-0.310103,0.154529
-0.312818,0.145686
-0.315302,0.136744
-0.317556,0.127708
-0.319569,0.118616
-0.321348,0.109443
-0.322885,0.100226
-0.324187,0.0909422
-0.325246,0.0816272
-0.326067,0.0722568
-0.326646,0.0628684
-0.326987,0.0534371
-0.327087,0.0440001
-0.326948,0.0345324
-0.32657,0.0250712
-0.325954,0.0155912
-0.3251,0.00612959
-0.324011,-0.00330773
-0.322684,-0.0127462
-0.321121,-0.0221801
-0.319328,-0.031573
-0.317302,-0.0409503
-0.315049,-0.0502757
-0.312565,-0.0595747
-0.309859,-0.0688114
-0.306925,-0.0780113
-0.303774,-0.0871391
-0.3004,-0.0962198
-0.296813,-0.105219
-0.293007,-0.114161
-0.288994,-0.123013
-0.284766,-0.131799
-0.280338,-0.140485
-0.275699,-0.149096
-0.270867,-0.1576
-0.265829,-0.166021
-0.260604,-0.174327
-0.255179,-0.182541
-0.249574,-0.190633
-0.243774,-0.198625
-0.237802,-0.206489
-0.231641,-0.214247
-0.225314,-0.221869
-0.218805,-0.229378
-0.212137,-0.236747
-0.205294,-0.243996
-0.1983,-0.251099
-0.191137,-0.258077
-0.183829,-0.264904
-0.17636,-0.2716
-0.168755,-0.278141
-0.160994,-0.284546
-0.153105,-0.290792
-0.145067,-0.296897
-0.136908,-0.30284
-0.128608,-0.308639
-0.120195,-0.314272
-0.111647,-0.319756
-0.102993,-0.325073
-0.0942117,-0.330237
-0.0853324,-0.335232
-0.0763323,-0.340071
-0.0672418,-0.344739
-0.0580374,-0.349249
-0.04875,-0.353586
-0.0393555,-0.357763
-0.0298853,-0.361765
-0.0203148,-0.365606
-0.0106758,-0.369272
-0.000943164,-0.372774
0.00885087,-0.376102
0.0187321,-0.379264
0.0286677,-0.382252
0.038684,-0.385074
0.048748,-0.38772
0.0588864,-0.390201
0.069066,-0.392507
0.0793136,-0.394647
0.0895961,-0.396614
0.0999407,-0.398414
0.110314,-0.400041
0.120743,-0.401502
0.131195,-0.402792
0.141698,-0.403916
0.152217,-0.404871
0.162781,-0.405661
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
0.173357,-0.406282
